Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Marte,NO,,FY24 SC 007,EDUCATIONAL ALLIANCE CO OP VILLAGE NORC,465 GRAND STREET,Manhattan,10002,,1,103,Christine Dey ,646-395-4270,cdey@mannycantor.org,N66,DFTA-Funded,NORC,,,,1,Marte,"465%20GRAND%20STREET,%20Manhattan,%2010002",40.71513258781397,-73.98403061202835
Marte,YES,xam@edalliance.org,FY24 SC 008,Educational Alliance Weinberg Older Adult Center,197 East Broadway,Manhattan,10002,,1,Manhattan CD3,Xiomara Maldonado,646-395-4270,xmaldonado@edalliance.org; wcbl@mannycantor.org;  info@MannyCantor.org,C8102,Main Site,OAC,xam@edalliance.org,Xiomara A. Maldonado ,,1,Marte,"197%20East%20Broadway,%20Manhattan,%2010002",40.714210861330066,-73.98830178249587
Marte,NO,,FY24 SC 009,HAMILTON MADISON ALFRED SMITH HOUSES NORC,50 MADISON STREET,Manhattan,10038,,1,103,Mariely Cerda,212-788-5580,marielycerda@hmhonline.org,N53-01,DFTA-Funded- NYCHA,NORC,,,,1,Marte,"50%20MADISON%20STREET,%20Manhattan,%2010038",40.71195798583076,-73.99782491929764
Marte,YES,MarynaLysenko@hmhonline.org,FY24 SC 010,HAMILTON MADISON KNICKERBOCKER NORC,36 MONROE STREET G1,Manhattan,10002,,1,103,Maryna Lysenko,212-349-0616,MarynaLysenko@hmhonline.org,N53-02,DFTA-Funded,NORC,MarynaLysenko@hmhonline.org,Maryna Lysenko,,1,Marte,"36%20MONROE%20STREET%20G1,%20Manhattan,%2010002",40.71153793895665,-73.99476973939431
Marte,YES,joanne@hmhonline.org,FY24 SC 011,HMH City Hall Older Adult Center,100 Gold Street,Manhattan,10038,,1,Manhattan CD1,Joanne Chu,212-788-5580/5557,Joanne@hmhonline.org,C3801,Main Site,OAC,joanne@hmhonline.org,Joanne Chu,,1,Marte,"100%20Gold%20Street,%20Manhattan,%2010038",40.71035225065372,-74.00400739046181
Marte,YES,jmayock@greenwichhouse.org,FY24 SC 012,Independence Plaza,310 Greenwich Street,Manhattan,10013,,1,Manhattan CD1,Joseph Mayock,212-267-0499,Jmayock@greenwichhouse.org,W1503,Main Site,OAC,jmayock@greenwichhouse.org,Joseph Mayock,,1,Marte,"310%20Greenwich%20Street,%20Manhattan,%2010013",40.717603485641334,-74.01066709526035
Marte,NO,,FY24 SC 013,NYFSC LaGuardia Older Adult Center,280 Cherry Street,Manhattan,10002,,1,Manhattan CD3,Jaymi Tran,212-732-3656,laguardiaseniorcenter2@gmail.com,C5102,Main Site,OAC,,,,1,Marte,"280%20Cherry%20Street,%20Manhattan,%2010002",40.71137553848229,-73.98846099106804
Marte,NO,,FY24 SC 014,NYFSC Mott Street Older Adult Center,180 Mott Street,Manhattan,10012,,1,Manhattan CD2,Suzanne Yuen,212-966-5460,syuennyfsc@hotmail.com,C5103,Main Site,OAC,,,,1,Marte,"180%20Mott%20Street,%20Manhattan,%2010012",40.72055726702255,-73.99587294629907
Marte,YES,dsadykov@ujces.org,FY24 SC 015,UJCES Lunch Club OAC,15 Willett Street,Manhattan,10002,,1,Manhattan CD3,Dina Sadykov,212-673-9328,dsadykov@ujces.org,C8502,Main Site,OAC,dsadykov@ujces.org,Dina Sadykov,,1,Marte,"15%20Willett%20Street,%20Manhattan,%2010002",40.7156594309484,-73.98297715437843
Marte,YES,rsalazar@universitysettlement.org,FY24 SC 016,University Settlement OAC,189 Allen Street,Manhattan,10002,,1,Manhattan CD3,Bing Ji,212-453-4549,bji@universitysettlement.org,C8701,Main Site,OAC,rsalazar@universitysettlement.org,Rosemarie Salazar (Assistant Director),,1,Marte,"189%20Allen%20Street,%20Manhattan,%2010002",40.72213230354766,-73.98896419959836
Marte,YES,bji@universitysettlement.org,FY24 SC 017,Village View NORC ,189 ALLEN STREET,Manhattan,10002,,1,103,Bing Ji ,212-453-0287,bji@universitysettlement.org,N72,DFTA-Funded,NORC,bji@universitysettlement.org,Bing Ji,,1,Marte,"189%20ALLEN%20STREET,%20Manhattan,%2010002",40.72213230354766,-73.98896419959836
Marte,YES,pia@visionurbana.org,FY24 SC 018,Vision Urbana NORC ,75 Delancey Street,Manhattan,10002,,1,103,Maria Scarfo,646-626-9748,pia@visionurbana.org,N73,DFTA-Funded,NORC,pia@visionurbana.org,Maria Pia Scarfo,,1,Marte,"75%20Delancey%20Street,%20Manhattan,%2010002",40.719104934722225,-73.99006498405707
Mealy,YES,Nmedrano@riseboro.org,FY24 SC 297,Brevoort Senior Club,280 Ralph Avenue,Brooklyn,11233,,41,Brooklyn CD3,Ninoska Medrano,347-318-3383,nmedrano@riseboro.org,W2002,Affiliated,OAC,Nmedrano@riseboro.org,Ninoska Medrano,,41,Mealy,"280%20Ralph%20Avenue,%20Brooklyn,%2011233",40.6797931867901,-73.92215307304389
Mealy,YES,Mbruce@fortgreenecouncil.org,FY24 SC 312,Christopher Blenman OAC,720 East New York Avenue,Brooklyn,11203,,41,Brooklyn CD9   ,Merlyn Bruce,718-773-7400,mbruce@fortgreenecouncil.org,C3505,Main Site,OAC,Mbruce@fortgreenecouncil.org,Merlyn Bruce,,41,Mealy,"720%20East%20New%20York%20Avenue,%20Brooklyn,%2011203",40.66228888598054,-73.93891600532766
Mealy,YES,wharvey@fortgreenecouncil.org,FY24 SC 337,Hugh Gilroy OAC,447 Kingsborough ,Brooklyn,11233,,41,Brooklyn CD8,Wendy Harvey,718-756-8400,wharvey@fortgreenecouncil.org,C3511,Main Site,OAC,wharvey@fortgreenecouncil.org,WENDY HARVEY,,41,Mealy,"447%20Kingsborough%20,%20Brooklyn,%2011233",40.57592227811508,-73.93577681112075
Mealy,YES,Jdupree@fortgreenecouncil.org,FY24 SC 299,Marcus Garvey ,1440 East New York Avenue,Brooklyn,11212,,41,Brooklyn CD16  ,Joseph Dupree   ,(929)234-5850 ,jdupree@fortgreenecouncil.org,C3502,Affiliated,OAC,Jdupree@fortgreenecouncil.org,Joseph Dupree,,41,Mealy,"1440%20East%20New%20York%20Avenue,%20Brooklyn,%2011212",40.67065319569871,-73.91457549646739
Mealy,YES,cjonestaylor@riseboro.org,FY24 SC 300,Saratoga Sq Senior,930 Halsey Street,Brooklyn,11233,,41,Brooklyn CD16,Chanteze Jones-Taylor,347-425-0676,rortiz@riseboro.org,W2008,Affiliated,OAC,cjonestaylor@riseboro.org,Chanteze Jones-Taylor,,41,Mealy,"930%20Halsey%20Street,%20Brooklyn,%2011233",40.6855782949192,-73.91697578346272
Mealy,YES,jdupree@fortgreenecouncil.org,FY24 SC 301,Seth Low Social Clubs ,137 Belmont Avenue,Brooklyn,11212,,41,Brooklyn CD16  ,David Lyons,347-240-4878 ,ljames@fortgreenecouncil.org,C3503,Affiliated,OAC,jdupree@fortgreenecouncil.org,Joseph Dupree,FY24 SC 301,41,Mealy,"137%20Belmont%20Avenue,%20Brooklyn,%2011212",40.66920482092561,-73.9051724574912
Mealy,YES,SHERZ@GMAIL.COM,FY24 SC 302,Shalom,483 Albany Avenue,Brooklyn,11203,,41,Brooklyn CD9,Shimon Herz,718 774-9213,sherz@chjcc.org,C9801,Main Site,OAC,SHERZ@GMAIL.COM,SHIMON HERZ,,41,Mealy,"483%20Albany%20Avenue,%20Brooklyn,%2011203",40.66338735509566,-73.93997471458842
Mealy,YES,wmoore@wordnyc.org,FY24 SC 303,Wayside Out Brownsville Social Club,528 Mother Gaston Blvd,Brooklyn,11212,,41,Brooklyn CD16  ,Wanda Moore,917-962-8275,info@wordnyc.org,C9002,Affiliated,OAC,wmoore@wordnyc.org,Wanda Moore,,41,Mealy,"528%20Mother%20Gaston%20Blvd,%20Brooklyn,%2011212",40.66595561911725,-73.90592323172193
Mealy,YES,ejones@wordnyc.org,FY24 SC 304,Wayside Out Langston Hughes Social Club,301 Sutter Avenue,Brooklyn,11212,,41,Brooklyn CD16  ,Erica jones,917-962-8277,ejones@fortgreenecouncil.org,C9004,Affiliated,OAC,ejones@wordnyc.org,Erica Jones,,41,Mealy,"301%20Sutter%20Avenue,%20Brooklyn,%2011212",40.66731132699587,-73.90907181564965
Mealy,YES,wburris@wordnyc.org,FY24 SC 305,Wayside Out Tilden Senior Center,630 Mother Gaston Boulevard,Brooklyn,11212,,41,Brooklyn CD16  ,Wanda Burris,718-498-2990,wburris@wordnyc.org,C9003,Main Site,OAC,wburris@wordnyc.org,WANDA JEAN BURRIS,,41,Mealy,"630%20Mother%20Gaston%20Boulevard,%20Brooklyn,%2011212",40.66347106383339,-73.90527792957397
Mealy,YES,lsmith@wordnyc.org,FY24 SC 276,Wayside Out Van Dyke II Senior Center,430 Dumont Avenue,Brooklyn,11212,,41,Brooklyn CD16  ,Loretta Smith,718-385-1110,lsmith@wordnyc.org,C9007,Main Site,OAC,lsmith@wordnyc.org,Loretta Smith,,41,Mealy,"430%20Dumont%20Avenue,%20Brooklyn,%2011212",40.66498179842672,-73.90330769403597
Menin,YES,zeisels@carterburdennetwork.org,FY24 SC 069,Carter Burden Luncheon Club ,351 East 74th Street,Manhattan,10021,,5,Manhattan CD8 ,Sharon Zeisel,646 937-3520,zeisels@carterburdennetwork.org ,C1601,Main Site,OAC,zeisels@carterburdennetwork.org,Sharon Zeisel,,5,Menin,"351%20East%2074th%20Street,%20Manhattan,%2010021",40.76961964657221,-73.95619717334156
Menin,YES,FERNANDEZL@CARTERBURDENNETWORK.ORG,FY24 SC 045,CBN Roosevelt Island Senior Center,546 Main Street,Manhattan,10044,,5,Manhattan CD8 ,Lisa Fernandez,212-980-1888,fernandezl@carterburdennetwork.org; santanay@carterburdennetwork.org; revelon@carterburdennetwork.org ,C1605,Main Site,OAC,FERNANDEZL@CARTERBURDENNETWORK.ORG,LISA FERNANDEZ,,5,Menin,"546%20Main%20Street,%20Manhattan,%2010044",40.76183840963089,-73.94973352751494
Menin,YES,swoodson@lenoxhill.org ,FY24 SC 046,Center @ Lenox Hill (ISC),343 East 70th Street,Manhattan,10021,,5,Manhattan CD8,Sara Woodson,212-218-1319,swoodson@lenoxhill.org; czhong@lenoxhill.org;  lwen@lenoxhill.org;  lwilliams@lenoxhill.org ,W1801,Main Site,OAC,swoodson@lenoxhill.org ,Sara Woodson,,5,Menin,"343%20East%2070th%20Street,%20Manhattan,%2010021",40.76668596620726,-73.9573904237736
Menin,YES,Jmarens@isaacscenter.org,FY24 SC 047,Stanley Isaacs NSC/Holmes Older Adult Center,415 East 93rd Street,Manhattan,10128,,5,Manhattan CD8 ,Jemma Marens,347-475-5321,jmarens@isaacscenter.org,C7601,Main Site,OAC,Jmarens@isaacscenter.org,Jemma Marens,,5,Menin,"415%20East%2093rd%20Street,%20Manhattan,%2010128",40.78090400630853,-73.9451117097979
Menin,YES,Jmarens@isaacscenter.org,FY24 SC 048,STANLEY M ISAACS NORC,415 E. 93RD STREET,Manhattan,10128,,5,108,Jemma Marens,212-360-7620 or 347-475-5321,jmarens@isaacscenter.org,N65,DFTA-Funded- NYCHA,NORC,Jmarens@isaacscenter.org,Jemma Marens,,5,Menin,"415%20E.%2093RD%20STREET,%20Manhattan,%2010128",40.78090400630853,-73.9451117097979
Moya,YES,RodriguezA@raices.us,FY24 SC 184,Corona OAC,107-24 Corona Avenue,Queens,11368,,21,Queens CD4,Alexandra Rodriguez,718 458 7259,rodrigueza@raices.us,C7203,Main Site,OAC,RodriguezA@raices.us,Alexandra Rodriguez-Canizare,,21,Moya,"107-24%20Corona%20Avenue,%20Queens,%2011368",40.74355033722455,-73.85570529744417
Moya,YES,dbarnes@fesscenter.org,FY24 SC 176,Florence E Smith OAC,102-19 34th Avenue,Queens,11368,,21,Queens CD3,Deborah Barnes,718 899-0553,dbarnes@fesscenter.org,C2501,Main Site,OAC,dbarnes@fesscenter.org,Deborah Barnes,,21,Moya,"102-19%2034th%20Avenue,%20Queens,%2011368",40.75574122064949,-73.86598754849055
Moya,YES,l.hooks@elmcor.org,FY24 SC 177,Golden Phoenix 1 (ELMCOR NSC),98-19 Astoria Boulevard,Queens,11369,,21,Queens CD3,Larinda Hooks,718-451-6904,L.Hooks@Elmcor.org,W1301,Main Site,OAC,l.hooks@elmcor.org,Larinda Hooks,,21,Moya,"98-19%20Astoria%20Boulevard,%20Queens,%2011369",40.76229600954383,-73.87108948789276
Moya,YES,l.hooks@elmcor.org,FY24 SC 178,Golden Phoenix 2 (Elmcor Lefrak NSC),95-18 Northern Boulevard,Queens,11372,,21,Queens CD3,Larinda Hooks,718-451-6904,L.Hooks@Elmcor.org,W1302,Main Site,OAC,l.hooks@elmcor.org,Larinda Hooks,,21,Moya,"95-18%20Northern%20Boulevard,%20Queens,%2011372",40.75686612483663,-73.87286144927161
Moya,YES,l.hooks@elmcor.org,FY24 SC 179,Golden Phoenix 3 ,96-05 Horace Harding Expressway,Queens,11368,,21,Queens 21,Larinda Hooks,718-651-0096 ext 211,L.Hooks@Elmcor.org,45D,Main Site,OAC,l.hooks@elmcor.org,Larinda Hooks,,21,Moya,"96-05%20Horace%20Harding%20Expressway,%20Queens,%2011368",40.73438233382562,-73.8643093383117
Moya,YES,l.hooks@elmcor.org,FY24 SC 180,Golden Phoenix 4 (Lefrak new site),33-16 108th street,Queens,11368,,21,Queens CD1, Larinda Hooks,718-451-6904, l.hooks@elmcor.org,CC101,Main Site,OAC,l.hooks@elmcor.org,Larinda Hooks,,21,Moya,"33-16%20108th%20street,%20Queens,%2011368",40.75742874535499,-73.86093798043129
Moya,NO,,FY24 SC 181,Korean Community Services Corona OAC,37-06 111th Street,Queens,11368,,21,Queens CD3,Helen Ahn,718-651-9220,kahn@kcsny.org,C4901,Main Site,OAC,,,,21,Moya,"37-06%20111th%20Street,%20Queens,%2011368",40.75394116472721,-73.85726369652436
Narcisse,YES,twong@milldev.org,FY24 SC 342,Bergen Basin Marine Park Older Adult Center,3000 Fillmore Avenue,Brooklyn,11234,,46,Brooklyn CD18   ,Tiffany Wong,718-336-0275,twong@bergenbeachyouth.org,C0803,Main Site,OAC,twong@milldev.org,Tiffany Wong,,46,Narcisse,"3000%20Fillmore%20Avenue,%20Brooklyn,%2011234",40.6085918212156,-73.9374669070915
Narcisse,YES,lmason@milldev.org,FY24 SC 343,Bergen Basin Midwood Older Adult Center,2164 Ralph Avenue,Brooklyn,11234,,46,Brooklyn CD18   ,Lauren Mason,718-253-5557,lmason@milldev.org,C0804,Main Site,OAC,lmason@milldev.org,Lauren Mason,,46,Narcisse,"2164%20Ralph%20Avenue,%20Brooklyn,%2011234",40.6250647125255,-73.91785799727778
Narcisse,YES,dweinstein@milldev.org,FY24 SC 344,Bergen Basin Mill Basin Older Adult Center,2075 East Street 68th Street,Brooklyn,11234,,46,Brooklyn CD18   ,Donna Rae Weinstein,718-444-3850,dweinstein@milldev.org,C0805,Main Site,OAC,dweinstein@milldev.org,DonnaRae Weinstein ,,46,Narcisse,"2075%20East%20Street%2068th%20Street,%20Brooklyn,%2011234",NA,NA
Narcisse,YES,eileenyu@homecrest.org,FY24 SC 345,CCNS NORC (Sheepshead Bay),3677 NOSTRAND AVENUE,Brooklyn,11229,,46,315,Marina Ackerman,718-769-3579,marina.ackerman@ccbq.org,4BM,Discretionary-NYCHA,NORC,eileenyu@homecrest.org,Eileen Yu,,46,Narcisse,"3677%20NOSTRAND%20AVENUE,%20Brooklyn,%2011229",40.59420254751602,-73.94067423772762
Narcisse,YES,LEE.RETKINSKI@CCBQ.ORG,FY24 SC 221,CCNS The Bay OAC,3643 Nostrand Avenue,Brooklyn,11229,,46,Brooklyn CD15 ,Lee Retkinski ,718-648-2053,lretkinski@ccbq.org,C1706,Main Site,OAC,LEE.RETKINSKI@CCBQ.ORG,SHARON RETKINSKI,,46,Narcisse,"3643%20Nostrand%20Avenue,%20Brooklyn,%2011229",40.5949656793889,-73.94082479246877
Narcisse,YES,omedytska@jasa.org,FY24 SC 314,JASA HES Older Adult Center,9502 Seaview Avenue,Brooklyn,11236,,46,Brooklyn CD18   ,Sue Ann Partnow,718-251-3700,spartnow@jasa.org,C8301,Main Site,OAC,omedytska@jasa.org,Olha Medytslka,,46,Narcisse,"9502%20Seaview%20Avenue,%20Brooklyn,%2011236",40.63280760886459,-73.89122000201081
Nurse,YES,CYPRESSSRCTR@AOL.COM,FY24 SC 277,Cypress Hills Fulton Street Senior Citizens Ctr ,3208 Fulton Street,Brooklyn,11208,,37,Brooklyn CD5,Maria Alicea,718-235-0064/0070,cypressmaria@aol.com,C2801,Main Site,OAC,CYPRESSSRCTR@AOL.COM,MICHAEL ZAMBRANO,FY24 SC 277,37,Nurse,"3208%20Fulton%20Street,%20Brooklyn,%2011208",40.68233636734069,-73.87677129187043
Nurse,YES,uramirez@riseboro.org,FY24 SC 278,Riseboro Hope Gardens MultiService,195 Linden Street,Brooklyn,11221,,37,Brooklyn CD4,Urantia Ramirez,718-455-1100,Uramirez@riseboro.org,W2004,Main Site,OAC,uramirez@riseboro.org,Urantia Ramirez,,37,Nurse,"195%20Linden%20Street,%20Brooklyn,%2011221",40.6953692599089,-73.91748649065994
Nurse,YES,emarindeavila@riseboro.org,FY24 SC 279,Riseboro Ridgewood Bushwick,319 Stanhope Street,Brooklyn,11237,,37,Brooklyn CD4,Erica Marin de Avila  ,718 366-3038,emarindeavila@riseboro.org  ,W2006,Main Site,OAC,emarindeavila@riseboro.org,Erica Marin,,37,Nurse,"319%20Stanhope%20Street,%20Brooklyn,%2011237",40.70284935789002,-73.91833560491438
Nurse,YES,amccain@wordnyc.org,FY24 SC 280,Wayside Out  Glenmore Plaza Social Club,1777 Pitkin Avenue,Brooklyn,11212,,37,Brooklyn CD16  ,Alexis McCain,917-962-8276,amccain@wordnyc.org,C9008,Affiliated,OAC,amccain@wordnyc.org,Alexis McCain,,37,Nurse,"1777%20Pitkin%20Avenue,%20Brooklyn,%2011212",40.67016743737438,-73.90756109845988
Osse,YES,nlazarus@fortgreenecouncil.org,FY24 SC 267,Albany OAC,196 Albany Avenue,Brooklyn,11213,,36,Brooklyn CD8,Carmel Taylor- Flowers-Director,718-773-2600,nlazarus@fortgreenecouncil.org,C3506,Main Site,OAC,nlazarus@fortgreenecouncil.org,Nolan Lazarus,,36,Osse,"196%20Albany%20Avenue,%20Brooklyn,%2011213",40.67388011335932,-73.93897388488644
Osse,YES,iesha.mayers@ccbq.org,FY24 SC 242,CCNS New Age OAC,54 MacDonough Street,Brooklyn,11216,,36,Brooklyn CD3   ,Jalience Mayers,718-771-7945,ron.carson@ccbq.org;  info@ccbq.org,C1713,Main Site,OAC,iesha.mayers@ccbq.org,Iesha Mayers,,36,Osse,"54%20MacDonough%20Street,%20Brooklyn,%2011216",40.68092869166959,-73.94438277762758
Osse,NO,,FY24 SC 269,DBA Brooklyn Neighborhood Services NORC (DC36 NORC),"506 MacDonough Street, Nazarene Community Center",Brooklyn,11233,,36,303,Andrea Green or Richard Trouth,718-919-2100,rtrouth@bnscdc.org,2CD,Discretionary,NORC,,,,36,Osse,"506%20MacDonough%20Street,%20Nazarene%20Community%20Center,%20Brooklyn,%2011233",NA,NA
Osse,YES,ljames@fortgreenecouncil.org,FY24 SC 298,Grant Sq OAC,19 Rogers Avenue,Brooklyn,11216,,36,Brooklyn CD8,Lois James,718-363-3133,ljames@fortgreenecouncil.org,C3508,Main Site,OAC,ljames@fortgreenecouncil.org,Lois James,,36,Osse,"19%20Rogers%20Avenue,%20Brooklyn,%2011216",40.67690855918659,-73.95266728363565
Osse,YES,BBrutus@fortgreenecouncil.org,FY24 SC 339,Maria Lawton OAC,400 Hart Street,Brooklyn,11206,,36,Brooklyn CD3   ,Barbara Brutus,718-452-7474,bbrutus@fortgreenecouncil.org,C3509,Main Site,OAC,BBrutus@fortgreenecouncil.org,Barbara Brutus,,36,Osse,"400%20Hart%20Street,%20Brooklyn,%2011206",40.69478741282401,-73.93464537401124
Osse,YES,demery@riseboro.org,FY24 SC 271,Stuyvesant Gardens Senior Club,150 Malcolm X Boulevard,Brooklyn,11221,,36,Brooklyn CD3,Denise Emery,347-318-3313,demery@riseboro.org,W2009,Affiliated,OAC,demery@riseboro.org,Denise Emery,,36,Osse,"150%20Malcolm%20X%20Boulevard,%20Brooklyn,%2011221",40.6883345590446,-73.93014442097454
Osse,NO,,FY24 SC 272,Stuyvesant Heights OAC,562-74 Madison Street,Brooklyn,11221,,36,Brooklyn CD3   ,Nolan Lazarus- Director,718-230-0824,nlazarus@fortgreenecouncil.org,C3510,Main Site,OAC,,,,36,Osse,"562-74%20Madison%20Street,%20Brooklyn,%2011221",40.68647112596518,-73.93529534322892
Osse,YES,ccain@riseboro.org,FY24 SC 273,Sumner Senior Club,862 Park Avenue,Brooklyn,11206,,36,Brooklyn CD3,Corey MCain,718-290-1829,ccain@riseboro.org; Htassy@riseboro.org; Mlowe@riseboro.org,W2010,Affiliated,OAC,ccain@riseboro.org,Corey Cain,,36,Osse,"862%20Park%20Avenue,%20Brooklyn,%2011206",40.6985812353093,-73.94073643073474
Osse,NO,,FY24 SC 275,Wayside Out Tompkins Louis Armstrong Center,360 Nostrand Avenue,Brooklyn,11216,,36,Brooklyn CD3   ,Khaliek McArthur ,718 638-3000,kmcarthur@wordnyc.org  ,C9006,Affiliated,OAC,,,,36,Osse,"360%20Nostrand%20Avenue,%20Brooklyn,%2011216",40.6873023014355,-73.95096519578782
Osse,YES,kmcarthur@wordnyc.org,FY24 SC 306,Wayside Out Tompkins Park Senior Center ,550 Greene Avenue,Brooklyn,11216,,36,Brooklyn CD3   ,Khaliek McArthur,718-638-3000,kmcarthur@wordnyc.org,C9005,Main Site,OAC,kmcarthur@wordnyc.org,Khaliek T. McArthur,,36,Osse,"550%20Greene%20Avenue,%20Brooklyn,%2011216",40.68866549869668,-73.94877544870181
Paladino,YES,micuevas@hanac.org,FY24 SC 206,HANAC Angelo Petromelis Older Adult Center,13-28 123rd Street,Queens,11356,,19,Queens CD7,Carla Mercado,718-961-0344,cmercado@hanac.org,C3901,Main Site,OAC,micuevas@hanac.org,Marcela Cuevas,,19,Paladino,"13-28%20123rd%20Street,%20Queens,%2011356",40.78617849447717,-73.84477231526458
Paladino,YES,kahn@kcsny.org,FY24 SC 167,Korean Community Services Flushing + Satellite MN9,42-15 166th Street,Queens,11358,,19,Queens CD7,Helen Ahn,718-886-8203,kahn@kcsny.org,C4902,Main Site,OAC,kahn@kcsny.org,Helen Ahn,,19,Paladino,"42-15%20166th%20Street,%20Queens,%2011358",40.7593899753474,-73.80033467089189
Paladino,YES,elev@commonpointqueens.org,FY24 SC 168,Samuel Field Y Bay Terrace Older Adult Center,212-00 23rd Avenue,Queens,11360,,19,Queens CD7,Elise J. Lev,718-423-6111 ext 223. ,elev@commonpointqueens.org,C6502,Main Site,OAC,elev@commonpointqueens.org,Elise J. Lev,,19,Paladino,"212-00%2023rd%20Avenue,%20Queens,%2011360",40.78144727734939,-73.77810859631401
Paladino,YES,jchampion@commonpointqueens.org,FY24 SC 169,SAMUEL FIELD Y CLEARVIEW GARDENS NORC,163-59 17TH AVENUE,Queens ,11357,,19,407,Jaimeson Champion,718-352-4157,jchampion@commonpointqueens.org,N61-01,DFTA-Funded,NORC,jchampion@commonpointqueens.org,Jaimeson Champion,,19,Paladino,"163-59%2017TH%20AVENUE,%20Queens%20,%2011357",40.78297597324693,-73.79898205427592
Paladino,YES,ebrennan@selfhelp.net,FY24 SC 170,Selfhelp Clearview,208-11 26th Avenue,Queens,11360,,19,Queens CD7,Erin Brennan,718-224-7888,ebrennan@selfhelp.net,W2103,Main Site,OAC,ebrennan@selfhelp.net,Erin Brennan,,19,Paladino,"208-11%2026th%20Avenue,%20Queens,%2011360",40.77638031431612,-73.78379773283254
Powers,YES,cthompson@projectfind.org ,FY24 SC 050,FIND Aid Woodstock OAC,127 West 43rd Street ,Manhattan,10036,,4,Manhattan CD5,Chenal Thompson,212-575-0693 ext. 400,cthompson@projectfind.org,C3304,Main Site,OAC,cthompson@projectfind.org ,Chenal Thompson,FY24 SC 050,4,Powers,"127%20West%2043rd%20Street%20,%20Manhattan,%2010036",40.75587301877582,-73.9844539822084
Powers,YES,swoodson@lenoxhill.org,FY24 SC 043,Senior Center @ St Peter's Church,619 Lexington Avenue,Manhattan,10022,,4,Manhattan CD6,Sara Woodson,646-306-4492,swoodson@lenoxhill.org; czhong@lenoxhill.org;  lwen@lenoxhill.org;  lwilliams@lenoxhill.org ,W1802,Main Site,OAC,swoodson@lenoxhill.org,Sara Woodson,,4,Powers,"619%20Lexington%20Avenue,%20Manhattan,%2010022",40.75869743997875,-73.9707439473601
Restler,YES,mrodriguez@milldev.org,FY24 SC 308,Bergen Basin Independence Older Adult Center,114 Taylor Street,Brooklyn,11249,,33,Brooklyn CD1,Maria Rodriquez,718-388-9242,mrodriguez@milldev.org,C0802,Main Site,OAC,mrodriguez@milldev.org,Maria Rodriguez,,33,Restler,"114%20Taylor%20Street,%20Brooklyn,%2011249",40.70550757910404,-73.96370166720324
Restler,YES,Marta.Kustek@ccbq.org,FY24 SC 189,CCNS Northside OAC,179 North 6th Street,Brooklyn,11211,,33,Brooklyn CD1,Marta Kustek,718-387-2316,marta.kustek@ccbq.org,C1710,Main Site,OAC,Marta.Kustek@ccbq.org,Marta Kustek,,33,Restler,"179%20North%206th%20Street,%20Brooklyn,%2011211",40.716684815410076,-73.95733942019922
Restler,YES,Agata.Skowronska@ccbq.org,FY24 SC 183,CCNS Pete McGuinness OAC,715 Leonard Street,Brooklyn,11222,,33,Brooklyn CD1,Samira Alieva; Agata Skowronska,929-884-6560 ,Samira.alieva@ccbq.org; Agata.Skowronska@ccbq.org,C1711,Main Site,OAC,Agata.Skowronska@ccbq.org,Agata Skowronska,,33,Restler,"715%20Leonard%20Street,%20Brooklyn,%2011222",40.729006992954936,-73.95276016749955
Restler,NO,,FY24 SC 311,CCNS St Charles Jubilee OAC,55 Pierrepont Street,Brooklyn,11201,,33,Brooklyn CD2   ,Claire Seide,718-855-0326,Claire.Seide@ccbq.org,C1719,Main Site,OAC,,,,33,Restler,"55%20Pierrepont%20Street,%20Brooklyn,%2011201",40.69578300295817,-73.99511717282907
Restler,NO,,FY24 SC 250,Congregation Yetev Lev --Williamsburg Satmar,125 Heyward Street,Brooklyn,11206,,33,Brooklyn CD1,Esther Fishman,718-625-1608,,C2301,Main Site,OAC,,,,33,Restler,"125%20Heyward%20Street,%20Brooklyn,%2011206",40.70167600428031,-73.95615525879724
Restler,YES,krakuspsc@polishslaviccenter.org,FY24 SC 251,Polish & Slavic Ctr Krakus OAC ,176 Java Street,Brooklyn,11222,,33,Brooklyn CD1,Arthur Pustula,718-383-5290 ext3,dorotapsc176@yahoo.com,C5501,Main Site,OAC,krakuspsc@polishslaviccenter.org,Artur Pustula,,33,Restler,"176%20Java%20Street,%20Brooklyn,%2011222",40.73169169631153,-73.95357731831986
Restler,YES,lworthey@raices.us,FY24 SC 291,RAICES  Gowanus OAC Satellite,420 Baltic Street,Brooklyn,11217,,33,Brooklyn CD6   ,Ladanza Worthey,718-797-2472,lworthey@raices.us,C7208,Affiliated,OAC,lworthey@raices.us,LaDanza Worthey,,33,Restler,"420%20Baltic%20Street,%20Brooklyn,%2011217",40.68364518732987,-73.98878307946816
